unix,date,symbol,open,high,low,close,Volume BTC,Volume USDD,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1752278400000,2025-07-12 00:00:00,BTC/USDD,116001.01,116001.01,116001.01,116001.01,235.25,0.002028,157.41,0.001357,11,116001.01
1752192000000,2025-07-11 00:00:00,BTC/USDD,116358.22,118499,116001.01,116001.01,523.29,0.00445,336.2,0.002852,19,117597.55
1752105600000,2025-07-10 00:00:00,BTC/USDD,111300,115569.25,107526.24,115569.25,3939.88,0.036462,133.65,0.00118,42,108074.02
1752019200000,2025-07-09 00:00:00,BTC/USDD,109249,111100,109249,111100,112.01,0.001014,112.01,0.001014,19,110472.83
1751932800000,2025-07-08 00:00:00,BTC/USDD,108249,108999,107751,108749,2072.85,0.019021,2071.45,0.019008,12,108977.09
1751846400000,2025-07-07 00:00:00,BTC/USDD,108999,109249,106801.01,108248.61,1960.21,0.018109,1385.58,0.012799,13,108246.26
1751760000000,2025-07-06 00:00:00,BTC/USDD,107501.01,109249,107501,109249,332.68,0.00309,27.93,0.000256,9,107665.82
1751673600000,2025-07-05 00:00:00,BTC/USDD,107999,108099,107503.47,107503.58,250.28,0.002328,2.8,0.000026,6,107509.77
1751587200000,2025-07-04 00:00:00,BTC/USDD,109998.97,109998.97,107000,107000,45.81,0.000425,9.89,0.00009,8,107814.14
1751500800000,2025-07-03 00:00:00,BTC/USDD,109099,110051.01,108001.01,108751.01,11255.97,0.102285,11230.13,0.102047,40,110045.32
1751414400000,2025-07-02 00:00:00,BTC/USDD,105001.01,109400,105000,109299,811.34,0.007695,101.02,0.00093,25,105452.34
1751328000000,2025-07-01 00:00:00,BTC/USDD,106251.01,106251.01,105200,105200,927.93,0.008783,0,0,16,105652.24
1751241600000,2025-06-30 00:00:00,BTC/USDD,108200,108399,107001,107001,14.05,0.00013,12.88,0.000119,4,108141.04
1751155200000,2025-06-29 00:00:00,BTC/USDD,107399,108199,107399,107499,6.57,0.000061,5.38,0.00005,4,107711.56
1751068800000,2025-06-28 00:00:00,BTC/USDD,107399,107499,107399,107499,1.71,0.000016,1.71,0.000016,2,107405.25
1750982400000,2025-06-27 00:00:00,BTC/USDD,105751,107499,105501,107499,4.57,0.000043,1.61,0.000015,3,106286.96
