unix,date,symbol,open,high,low,close,Volume COOL,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1689811200000,2023-07-20 00:00:00,COOL/USDT,1499,1499,1001,1001,1.83,0.001464,1.09,0.000733,2,1299.92
1689724800000,2023-07-19 00:00:00,COOL/USDT,1250.04,1250.04,1000,1000,20.76,0.019863,0,0,4,1054.19
1689638400000,2023-07-18 00:00:00,COOL/USDT,1700.1,1700.1,1700.1,1700.1,0,0,0,0,0,1569.44
1689552000000,2023-07-17 00:00:00,COOL/USDT,1700,1700.1,1250.03,1700.1,73.56,0.047249,34.83,0.020491,18,1569.44
1689465600000,2023-07-16 00:00:00,COOL/USDT,2099,2099,2099,2099,1.99,0.000952,1.99,0.000952,1,2099
1689379200000,2023-07-15 00:00:00,COOL/USDT,2177,2177.99,2177,2177.99,7.27,0.003342,7.27,0.003342,5,2177.27
1689292800000,2023-07-14 00:00:00,COOL/USDT,1500.01,1500.01,1500,1500,6.28,0.004192,0,0,3,1500
1689206400000,2023-07-13 00:00:00,COOL/USDT,1500,1500,1500,1500,5.53,0.003687,0,0,2,1500
1689120000000,2023-07-12 00:00:00,COOL/USDT,1500.01,1500.01,1500.01,1500.01,0,0,0,0,0,1500.01
1689033600000,2023-07-11 00:00:00,COOL/USDT,1500.01,1500.01,1500.01,1500.01,13.46,0.008976,0,0,1,1500.01
1688947200000,2023-07-10 00:00:00,COOL/USDT,1500.02,1500.02,1500.01,1500.01,11.58,0.00772,0,0,2,1500.01
1688860800000,2023-07-09 00:00:00,COOL/USDT,1500,1500,1500,1500,0,0,0,0,0,1500
1688774400000,2023-07-08 00:00:00,COOL/USDT,1500,1500,1500,1500,0,0.000001,0,0,1,1500
1688688000000,2023-07-07 00:00:00,COOL/USDT,2177.99,2177.99,2177.99,2177.99,0,0,0,0,0,2178.37
1688601600000,2023-07-06 00:00:00,COOL/USDT,2200,2200,2177.99,2177.99,17.55,0.008058,17.24,0.00792,2,2178.37
1688515200000,2023-07-05 00:00:00,COOL/USDT,2200,2200,2200,2200,0,0,0,0,0,2281.77
1688428800000,2023-07-04 00:00:00,COOL/USDT,2200.02,3266,2200,2200,13.41,0.005944,1.02,0.000315,6,2281.77
1688342400000,2023-07-03 00:00:00,COOL/USDT,2894.85,3265,2894.85,3265,28.78,0.009749,17.92,0.005996,8,2959.24
1688256000000,2023-07-02 00:00:00,COOL/USDT,2429.08,2999,2429.08,2894.85,52.21,0.018613,41.42,0.014913,12,2813.18
1688169600000,2023-07-01 00:00:00,COOL/USDT,2000,2000,1250,1250,35.8,0.019731,27.76,0.013884,5,1872.21
1688083200000,2023-06-30 00:00:00,COOL/USDT,2000,2000,2000,2000,0,0,0,0,0,2000
1687996800000,2023-06-29 00:00:00,COOL/USDT,2000,2000,2000,2000,0,0,0,0,0,2000
1687910400000,2023-06-28 00:00:00,COOL/USDT,2000,2000,2000,2000,0,0,0,0,0,2000
1687824000000,2023-06-27 00:00:00,COOL/USDT,2000,2000,2000,2000,0,0,0,0,0,2000
1687737600000,2023-06-26 00:00:00,COOL/USDT,2000,2000,2000,2000,0,0,0,0,0,2000
1687651200000,2023-06-25 00:00:00,COOL/USDT,2000,2000,2000,2000,0,0,0,0,0,2000
1687564800000,2023-06-24 00:00:00,COOL/USDT,2000,2000,2000,2000,2.42,0.001214,0,0,2,2000
1687478400000,2023-06-23 00:00:00,COOL/USDT,2000,2000,2000,2000,0,0,0,0,0,2226.28
1687392000000,2023-06-22 00:00:00,COOL/USDT,2849,2999,2000,2000,130.01,0.059587,25.29,0.008842,11,2226.28
1687305600000,2023-06-21 00:00:00,COOL/USDT,2870.01,2870.01,2870.01,2870.01,0,0,0,0,0,2839.39
1687219200000,2023-06-20 00:00:00,COOL/USDT,2870.01,2870.01,2870.01,2870.01,0,0,0,0,0,2839.39
1687132800000,2023-06-19 00:00:00,COOL/USDT,2870.01,2870.01,2870.01,2870.01,0,0,0,0,0,2839.39
1687046400000,2023-06-18 00:00:00,COOL/USDT,2799,2870.01,2799,2870.01,5.27,0.001857,5.27,0.001857,2,2839.39
1686960000000,2023-06-17 00:00:00,COOL/USDT,2669.48,2669.48,2669.48,2669.48,0,0,0,0,0,2669.48
1686873600000,2023-06-16 00:00:00,COOL/USDT,2669.48,2669.48,2669.48,2669.48,0,0,0,0,0,2669.48
1686787200000,2023-06-15 00:00:00,COOL/USDT,2669.48,2669.48,2669.48,2669.48,0,0,0,0,0,2669.48
1686700800000,2023-06-14 00:00:00,COOL/USDT,2669.48,2669.48,2669.48,2669.48,0,0,0,0,0,2669.48
1686614400000,2023-06-13 00:00:00,COOL/USDT,2669.48,2669.48,2669.48,2669.48,0,0,0,0,0,2669.48
1686528000000,2023-06-12 00:00:00,COOL/USDT,2669.48,2669.48,2669.48,2669.48,0,0,0,0,0,2669.48
1686441600000,2023-06-11 00:00:00,COOL/USDT,2669.48,2669.48,2669.48,2669.48,0,0,0,0,0,2669.48
1686355200000,2023-06-10 00:00:00,COOL/USDT,2669.48,2669.48,2669.48,2669.48,0.99,0.000374,0.99,0.000374,1,2669.48
1686268800000,2023-06-09 00:00:00,COOL/USDT,2799,2799,2799,2799,0,0,0,0,0,2799
1686182400000,2023-06-08 00:00:00,COOL/USDT,2799,2799,2799,2799,1.09,0.000392,1.09,0.000392,1,2799
1686096000000,2023-06-07 00:00:00,COOL/USDT,2799,2799,2799,2799,1.29,0.000464,1.29,0.000464,1,2799
1686009600000,2023-06-06 00:00:00,COOL/USDT,2870.01,2870.01,2870.01,2870.01,0,0,0,0,0,2769.8
1685923200000,2023-06-05 00:00:00,COOL/USDT,2870.01,2870.01,2870.01,2870.01,0,0,0,0,0,2769.8
1685836800000,2023-06-04 00:00:00,COOL/USDT,2870.01,2870.01,2870.01,2870.01,0,0,0,0,0,2769.8
1685750400000,2023-06-03 00:00:00,COOL/USDT,2870.01,2870.01,2870.01,2870.01,0,0,0,0,0,2769.8
1685664000000,2023-06-02 00:00:00,COOL/USDT,2870.01,2870.01,2870.01,2870.01,0,0,0,0,0,2769.8
1685577600000,2023-06-01 00:00:00,COOL/USDT,2870.01,2870.01,2870.01,2870.01,0,0,0,0,0,2769.8
1685491200000,2023-05-31 00:00:00,COOL/USDT,2870.01,2870.01,2870.01,2870.01,0,0,0,0,0,2769.8
1685404800000,2023-05-30 00:00:00,COOL/USDT,2870.01,2870.01,2870.01,2870.01,0,0,0,0,0,2769.8
1685318400000,2023-05-29 00:00:00,COOL/USDT,2870.01,2870.01,2870.01,2870.01,0,0,0,0,0,2769.8
1685232000000,2023-05-28 00:00:00,COOL/USDT,2699,2870.01,2699,2870.01,9.99,0.003612,9.99,0.003612,3,2769.8
1685145600000,2023-05-27 00:00:00,COOL/USDT,2565.62,2565.62,2565.62,2565.62,0,0,0,0,0,2565.62
1685059200000,2023-05-26 00:00:00,COOL/USDT,2565.62,2565.62,2565.62,2565.62,2.99,0.001169,0,0,1,2565.62
1684972800000,2023-05-25 00:00:00,COOL/USDT,2899,2899,2899,2899,0,0,0,0,0,2786.95
1684886400000,2023-05-24 00:00:00,COOL/USDT,2899,2899,2899,2899,0,0,0,0,0,2786.95
1684800000000,2023-05-23 00:00:00,COOL/USDT,2899,2899,2899,2899,0,0,0,0,0,2786.95
1684713600000,2023-05-22 00:00:00,COOL/USDT,2899,2899,2899,2899,0,0,0,0,0,2786.95
1684627200000,2023-05-21 00:00:00,COOL/USDT,2899,2899,2899,2899,0,0,0,0,0,2786.95
1684540800000,2023-05-20 00:00:00,COOL/USDT,2899,2899,2899,2899,0,0,0,0,0,2786.95
1684454400000,2023-05-19 00:00:00,COOL/USDT,2899,2899,2899,2899,0,0,0,0,0,2786.95
1684368000000,2023-05-18 00:00:00,COOL/USDT,2899,2899,2899,2899,0,0,0,0,0,2786.95
1684281600000,2023-05-17 00:00:00,COOL/USDT,2899,2899,2899,2899,0,0,0,0,0,2786.95
1684195200000,2023-05-16 00:00:00,COOL/USDT,2672.07,2899,2672.07,2899,6.29,0.002264,6.29,0.002264,2,2786.95
1684108800000,2023-05-15 00:00:00,COOL/USDT,2499,2499,2499,2499,0,0,0,0,0,2565.99
1684022400000,2023-05-14 00:00:00,COOL/USDT,2499,2499,2499,2499,0,0,0,0,0,2565.99
1683936000000,2023-05-13 00:00:00,COOL/USDT,2499,2499,2499,2499,0,0,0,0,0,2565.99
1683849600000,2023-05-12 00:00:00,COOL/USDT,2499,2499,2499,2499,0,0,0,0,0,2565.99
1683763200000,2023-05-11 00:00:00,COOL/USDT,2499,2499,2499,2499,0,0,0,0,0,2565.99
1683676800000,2023-05-10 00:00:00,COOL/USDT,2499,2499,2499,2499,0,0,0,0,0,2565.99
1683590400000,2023-05-09 00:00:00,COOL/USDT,2499,2499,2499,2499,0,0,0,0,0,2565.99
1683504000000,2023-05-08 00:00:00,COOL/USDT,2499,2499,2499,2499,0,0,0,0,0,2565.99
1683417600000,2023-05-07 00:00:00,COOL/USDT,2499,2499,2499,2499,0,0,0,0,0,2565.99
1683331200000,2023-05-06 00:00:00,COOL/USDT,2499,2499,2499,2499,0,0,0,0,0,2565.99
1683244800000,2023-05-05 00:00:00,COOL/USDT,2499,2499,2499,2499,0,0,0,0,0,2565.99
1683158400000,2023-05-04 00:00:00,COOL/USDT,2499,2499,2499,2499,0,0,0,0,0,2565.99
1683072000000,2023-05-03 00:00:00,COOL/USDT,2499,2499,2499,2499,0,0,0,0,0,2565.99
1682985600000,2023-05-02 00:00:00,COOL/USDT,2499,2499,2499,2499,0,0,0,0,0,2565.99
1682899200000,2023-05-01 00:00:00,COOL/USDT,2602.31,2602.31,2222,2499,42.38,0.016543,8.93,0.003503,6,2565.99
1682812800000,2023-04-30 00:00:00,COOL/USDT,2602.31,2602.31,2602.31,2602.31,0,0,0,0,0,2602.31
