unix,date,symbol,open,high,low,close,Volume CORN,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1691539200000,2023-08-09 00:00:00,CORN/USDT,6.83,6.83,6.83,6.83,1.36,0.2,1.36,0.2,1,6.83
1691452800000,2023-08-08 00:00:00,CORN/USDT,6.71,7.01,6.4,6.4,17.43,2.694689,2.74,0.4,5,6.47
1691366400000,2023-08-07 00:00:00,CORN/USDT,5.2,7.01,5.2,6.4,121.81,21.378854,1.7,0.281729,19,5.79
1691280000000,2023-08-06 00:00:00,CORN/USDT,7.05,7.15,5.97,5.97,52.36,7.874623,23.86,3.832092,7,6.68
1691193600000,2023-08-05 00:00:00,CORN/USDT,7.05,7.05,7.05,7.05,0,0,0,0,0,7.18
1691107200000,2023-08-04 00:00:00,CORN/USDT,7.25,7.25,7.05,7.05,107.16,14.921334,71.94,9.926584,3,7.18
1691020800000,2023-08-03 00:00:00,CORN/USDT,7.25,7.25,7.25,7.25,0,0,0,0,0,7.1
1690934400000,2023-08-02 00:00:00,CORN/USDT,7.05,7.25,7.05,7.25,19.33,2.721882,9.43,1.31746,4,7.1
1690848000000,2023-08-01 00:00:00,CORN/USDT,7.75,7.75,7.05,7.05,137.2,18.977496,31.62,4.276301,13,7.23
1690761600000,2023-07-31 00:00:00,CORN/USDT,9.05,9.05,9.05,9.05,0,0,0,0,0,9.05
1690675200000,2023-07-30 00:00:00,CORN/USDT,9.05,9.05,9.05,9.05,0,0,0,0,0,9.05
1690588800000,2023-07-29 00:00:00,CORN/USDT,9.05,9.05,9.05,9.05,0,0,0,0,0,9.05
1690502400000,2023-07-28 00:00:00,CORN/USDT,9.05,9.05,9.05,9.05,13.99,1.546961,13.99,1.546961,1,9.05
1690416000000,2023-07-27 00:00:00,CORN/USDT,7.38,7.38,7.38,7.38,0,0,0,0,0,7.38
1690329600000,2023-07-26 00:00:00,CORN/USDT,7.38,7.38,7.38,7.38,0,0,0,0,0,7.38
1690243200000,2023-07-25 00:00:00,CORN/USDT,7.38,7.38,7.38,7.38,0,0,0,0,0,7.38
1690156800000,2023-07-24 00:00:00,CORN/USDT,7.38,7.38,7.38,7.38,0,0,0,0,0,7.38
1690070400000,2023-07-23 00:00:00,CORN/USDT,7.38,7.38,7.38,7.38,7.38,1.000886,0,0,1,7.38
1689984000000,2023-07-22 00:00:00,CORN/USDT,9.06,10.38,9.06,10.37,261.46,25.427521,261.46,25.427521,8,10.28
1689897600000,2023-07-21 00:00:00,CORN/USDT,6.02,6.02,6.02,6.02,0,0,0,0,0,7.44
1689811200000,2023-07-20 00:00:00,CORN/USDT,6.02,6.02,6.02,6.02,0,0,0,0,0,7.44
1689724800000,2023-07-19 00:00:00,CORN/USDT,6.02,6.02,6.02,6.02,0,0,0,0,0,7.44
1689638400000,2023-07-18 00:00:00,CORN/USDT,6.02,6.02,6.02,6.02,0,0,0,0,0,7.44
1689552000000,2023-07-17 00:00:00,CORN/USDT,6.02,6.02,6.02,6.02,0,0,0,0,0,7.44
1689465600000,2023-07-16 00:00:00,CORN/USDT,6.02,6.02,6.02,6.02,0,0,0,0,0,7.44
1689379200000,2023-07-15 00:00:00,CORN/USDT,6.02,6.02,6.02,6.02,0,0,0,0,0,7.44
