unix,date,symbol,open,high,low,close,Volume DASH,Volume BTC,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1751328000000,2025-07-01 00:00:00,DASH/BTC,0.000187,0.000188,0.000181,0.000182,0.014634,79.51,0.009455,51.34,148,0.000184
1751241600000,2025-06-30 00:00:00,DASH/BTC,0.000188,0.00019,0.000185,0.000187,0.024473,130.53,0.017505,93.16,145,0.000187
1751155200000,2025-06-29 00:00:00,DASH/BTC,0.000185,0.00019,0.000185,0.000188,0.014915,80.11,0.013085,70.23,172,0.000186
1751068800000,2025-06-28 00:00:00,DASH/BTC,0.000183,0.000186,0.000181,0.000186,0.027731,152.17,0.013372,73.04,123,0.000182
1750982400000,2025-06-27 00:00:00,DASH/BTC,0.000181,0.000182,0.00018,0.000182,0.006797,37.46,0.004579,25.2,72,0.000181
1750896000000,2025-06-26 00:00:00,DASH/BTC,0.000185,0.000186,0.00018,0.000181,0.007983,43.64,0.004963,27.2,75,0.000182
1750809600000,2025-06-25 00:00:00,DASH/BTC,0.00019,0.000191,0.000184,0.000184,0.015993,84.97,0.012263,65.15,105,0.000188
1750723200000,2025-06-24 00:00:00,DASH/BTC,0.000188,0.000192,0.000187,0.000191,0.038948,205.13,0.034547,181.9,230,0.000189
1750636800000,2025-06-23 00:00:00,DASH/BTC,0.000182,0.000188,0.00018,0.000188,0.011777,64.18,0.004808,25.94,123,0.000183
1750550400000,2025-06-22 00:00:00,DASH/BTC,0.000184,0.000184,0.000179,0.000182,0.090128,498.83,0.053424,294.51,221,0.00018
1750464000000,2025-06-21 00:00:00,DASH/BTC,0.000189,0.00019,0.000184,0.000184,0.12471,667.85,0.064869,347.28,198,0.000186
1750377600000,2025-06-20 00:00:00,DASH/BTC,0.00019,0.000194,0.000187,0.000189,0.152788,805.04,0.115606,606.9,331,0.000189
1750291200000,2025-06-19 00:00:00,DASH/BTC,0.000189,0.000191,0.000188,0.00019,0.052824,278.05,0.050086,263.56,228,0.000189
1750204800000,2025-06-18 00:00:00,DASH/BTC,0.000188,0.00019,0.000185,0.00019,0.031787,169.51,0.02054,109.32,159,0.000187
1750118400000,2025-06-17 00:00:00,DASH/BTC,0.000188,0.000192,0.000187,0.000188,0.088576,471.52,0.024358,128.6,258,0.000187
1750032000000,2025-06-16 00:00:00,DASH/BTC,0.000191,0.000194,0.000189,0.000189,0.031109,162.75,0.014214,74.08,183,0.000191
1749945600000,2025-06-15 00:00:00,DASH/BTC,0.000192,0.000193,0.00019,0.000191,0.081749,425.9,0.074074,385.82,380,0.000191
1749859200000,2025-06-14 00:00:00,DASH/BTC,0.000193,0.000196,0.000192,0.000192,0.058969,306.05,0.012652,65.38,200,0.000192
1749772800000,2025-06-13 00:00:00,DASH/BTC,0.000197,0.000197,0.00019,0.000193,0.074663,387.7,0.047488,247.28,156,0.000192
