unix,date,symbol,open,high,low,close,Volume ETH,Volume USDD,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1751328000000,2025-07-01 00:00:00,ETH/USDD,2510,2510,2510,2510,0,0,0,0,0,2495
1751241600000,2025-06-30 00:00:00,ETH/USDD,2510,2510,2510,2510,0,0,0,0,0,2495
1751155200000,2025-06-29 00:00:00,ETH/USDD,2510,2510,2510,2510,0,0,0,0,0,2495
1751068800000,2025-06-28 00:00:00,ETH/USDD,2510,2510,2510,2510,0,0,0,0,0,2495
1750982400000,2025-06-27 00:00:00,ETH/USDD,2510,2510,2510,2510,0,0,0,0,0,2495
1750896000000,2025-06-26 00:00:00,ETH/USDD,2480,2510,2480,2510,9.99,0.004008,9.99,0.004008,2,2495
1750809600000,2025-06-25 00:00:00,ETH/USDD,2450,2450,2450,2450,0,0,0,0,0,2449.17
1750723200000,2025-06-24 00:00:00,ETH/USDD,2449.14,2450,2449.14,2450,114.68,0.046825,114.68,0.046825,5,2449.17
1750636800000,2025-06-23 00:00:00,ETH/USDD,2360,2420,2360,2420,18.15,0.007597,18.15,0.007597,5,2390.08
1750550400000,2025-06-22 00:00:00,ETH/USDD,2320,2320,2165.33,2165.33,383.59,0.168616,0,0,22,2275.05
1750464000000,2025-06-21 00:00:00,ETH/USDD,2360,2360,2320,2320,82.97,0.035367,0,0,8,2346.14
1750377600000,2025-06-20 00:00:00,ETH/USDD,2460,2460,2380,2380,117.19,0.048724,0,0,14,2405.59
1750291200000,2025-06-19 00:00:00,ETH/USDD,2480,2480,2480,2480,0,0,0,0,0,2519.99
1750204800000,2025-06-18 00:00:00,ETH/USDD,2480,2480,2480,2480,0,0,0,0,0,2519.99
1750118400000,2025-06-17 00:00:00,ETH/USDD,2560,2560,2480,2480,49.99,0.019843,0,0,6,2519.99
1750032000000,2025-06-16 00:00:00,ETH/USDD,2590,2689.99,2590,2689.99,101.78,0.038501,101.78,0.038501,11,2643.88
1749945600000,2025-06-15 00:00:00,ETH/USDD,2470.39,2470.39,2470.39,2470.39,57.22,0.023166,0,0,1,2470.39
1749859200000,2025-06-14 00:00:00,ETH/USDD,2477.91,2477.91,2477.91,2477.91,41.72,0.016839,0,0,1,2477.91
1749772800000,2025-06-13 00:00:00,ETH/USDD,2620,2620,2440.03,2570,306.4,0.121776,74.13,0.029268,33,2517.05
1749686400000,2025-06-12 00:00:00,ETH/USDD,2720,2720,2640,2640,56.2,0.021009,0,0,10,2675.58
1749600000000,2025-06-11 00:00:00,ETH/USDD,2830,2869.97,2830,2869.97,16.25,0.005701,16.25,0.005701,3,2851.54
1749513600000,2025-06-10 00:00:00,ETH/USDD,2670,2810,2670,2810,178.29,0.064516,178.29,0.064516,19,2764.34
1749427200000,2025-06-09 00:00:00,ETH/USDD,2549.97,2650,2549.97,2650,103.53,0.040123,103.53,0.040123,19,2580.84
1749340800000,2025-06-08 00:00:00,ETH/USDD,2380.01,2380.01,2380.01,2380.01,5.48,0.002303,0,0,1,2380.01
1749254400000,2025-06-07 00:00:00,ETH/USDD,2530,2530,2530,2530,1.18,0.00047,1.18,0.00047,1,2530
1749168000000,2025-06-06 00:00:00,ETH/USDD,2380.09,2530,2380.09,2530,35.5,0.014438,21.28,0.008465,5,2460.81
1749081600000,2025-06-05 00:00:00,ETH/USDD,2560,2560,2400,2400,64.92,0.026128,0,0,25,2486.24
1748995200000,2025-06-04 00:00:00,ETH/USDD,2650,2670,2650,2670,19.99,0.007518,19.99,0.007518,9,2660
1748908800000,2025-06-03 00:00:00,ETH/USDD,2610,2630,2610,2630,19.99,0.007633,19.99,0.007633,2,2620
1748822400000,2025-06-02 00:00:00,ETH/USDD,2460.01,2590,2460.01,2590,28.27,0.011021,23.1,0.008922,3,2566.23
1748736000000,2025-06-01 00:00:00,ETH/USDD,2460,2516.79,2460,2516.78,299.54,0.119313,267.68,0.106361,5,2510.74
1748649600000,2025-05-31 00:00:00,ETH/USDD,2500.01,2500.01,2460,2460,16.17,0.006515,0,0,5,2482.45
1748563200000,2025-05-30 00:00:00,ETH/USDD,2600,2600,2500,2500,181.65,0.070779,102.73,0.03982,31,2566.7
1748476800000,2025-05-29 00:00:00,ETH/USDD,2670,2770,2620,2620,200.14,0.074813,64.39,0.023531,24,2676.06
1748390400000,2025-05-28 00:00:00,ETH/USDD,2670,2670,2670,2670,0,0,0,0,0,2644.51
1748304000000,2025-05-27 00:00:00,ETH/USDD,2595.6,2670,2480.01,2670,146.18,0.055281,145.15,0.054865,13,2644.51
1748217600000,2025-05-26 00:00:00,ETH/USDD,2480.01,2574.47,2480.01,2574.47,11.97,0.004798,2.05,0.0008,2,2496.25
1748131200000,2025-05-25 00:00:00,ETH/USDD,2500,2500,2480,2480.01,59.43,0.023967,0,0,4,2480.01
1748044800000,2025-05-24 00:00:00,ETH/USDD,2500,2500,2500,2500,0,0,0,0,0,2632.96
1747958400000,2025-05-23 00:00:00,ETH/USDD,2685.77,2710,2500,2500,148.82,0.056567,88.84,0.033039,22,2632.96
1747872000000,2025-05-22 00:00:00,ETH/USDD,2630,2670,2630,2670,49.99,0.018838,49.99,0.018838,5,2654
1747785600000,2025-05-21 00:00:00,ETH/USDD,2440.01,2610,2440.01,2460,61.99,0.024468,29.99,0.011553,18,2535.16
1747699200000,2025-05-20 00:00:00,ETH/USDD,2550,2570,2440,2440,29.16,0.011568,19.99,0.007812,4,2522.28
1747612800000,2025-05-19 00:00:00,ETH/USDD,2530,2530,2530,2530,9.99,0.003952,9.99,0.003952,2,2530
