unix,date,symbol,open,high,low,close,Volume LTC,Volume USDD,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1751328000000,2025-07-01 00:00:00,LTC/USDD,84.51,84.51,83.01,83.01,3.02,0.03605,0,0,3,83.84
1751241600000,2025-06-30 00:00:00,LTC/USDD,85.01,85.01,85.01,85.01,1.02,0.012,0,0,1,85.01
1751155200000,2025-06-29 00:00:00,LTC/USDD,87.99,88,87.99,88,6.51,0.074,6.51,0.074,2,87.99
1751068800000,2025-06-28 00:00:00,LTC/USDD,85.99,86.99,85.99,86.99,2.04,0.0237,2.04,0.0237,2,86.49
1750982400000,2025-06-27 00:00:00,LTC/USDD,84.99,84.99,84.99,84.99,0,0,0,0,0,83.99
1750896000000,2025-06-26 00:00:00,LTC/USDD,84.99,84.99,84.99,84.99,0,0,0,0,0,83.99
1750809600000,2025-06-25 00:00:00,LTC/USDD,84.99,84.99,84.99,84.99,0,0,0,0,0,83.99
1750723200000,2025-06-24 00:00:00,LTC/USDD,84.99,84.99,84.99,84.99,0,0,0,0,0,83.99
1750636800000,2025-06-23 00:00:00,LTC/USDD,81.99,84.99,81.99,84.99,2.51,0.0299,2.51,0.0299,3,83.99
1750550400000,2025-06-22 00:00:00,LTC/USDD,80,80,80,80,0,0,0,0,0,80.21
1750464000000,2025-06-21 00:00:00,LTC/USDD,81.01,81.01,80,80,7,0.087295,0,0,3,80.21
1750377600000,2025-06-20 00:00:00,LTC/USDD,83.01,83.01,82.01,82.01,2.14,0.026,0,0,2,82.51
1750291200000,2025-06-19 00:00:00,LTC/USDD,83,83,83,83,0,0,0,0,0,83
1750204800000,2025-06-18 00:00:00,LTC/USDD,83,83,83,83,0,0,0,0,0,83
1750118400000,2025-06-17 00:00:00,LTC/USDD,83,83,83,83,0,0,0,0,0,83
1750032000000,2025-06-16 00:00:00,LTC/USDD,83,83,83,83,0,0,0,0,0,83
1749945600000,2025-06-15 00:00:00,LTC/USDD,83,83,83,83,0,0,0,0,0,83
1749859200000,2025-06-14 00:00:00,LTC/USDD,83,83,83,83,0,0,0,0,0,83
1749772800000,2025-06-13 00:00:00,LTC/USDD,83,83,83,83,4.99,0.06024,0,0,2,83
1749686400000,2025-06-12 00:00:00,LTC/USDD,90.01,90.01,88.01,88.01,3.11,0.035,0,0,3,89.01
1749600000000,2025-06-11 00:00:00,LTC/USDD,92.01,92.99,91.01,92.99,3.03,0.033,1.02,0.011,3,92.01
1749513600000,2025-06-10 00:00:00,LTC/USDD,90.99,93,90.99,93,12.42,0.135023,12.42,0.135023,4,92
1749427200000,2025-06-09 00:00:00,LTC/USDD,84.15,84.15,84.15,84.15,0,0,0,0,0,84.17
1749340800000,2025-06-08 00:00:00,LTC/USDD,84.15,84.15,84.15,84.15,0,0,0,0,0,84.17
1749254400000,2025-06-07 00:00:00,LTC/USDD,84.15,84.15,84.15,84.15,0,0,0,0,0,84.17
1749168000000,2025-06-06 00:00:00,LTC/USDD,84.38,84.38,84.15,84.15,171.21,2.033978,171.21,2.033978,4,84.17
1749081600000,2025-06-05 00:00:00,LTC/USDD,84.01,84.01,84.01,84.01,1,0.012,0,0,1,84.01
1748995200000,2025-06-04 00:00:00,LTC/USDD,80.47,80.47,80.47,80.47,0,0,0,0,0,85.3
1748908800000,2025-06-03 00:00:00,LTC/USDD,86.02,86.02,80.47,80.47,383.87,4.50206,0,0,8,85.3
1748822400000,2025-06-02 00:00:00,LTC/USDD,88.99,88.99,88.99,88.99,1.02,0.0115,1.02,0.0115,1,88.99
1748736000000,2025-06-01 00:00:00,LTC/USDD,87.99,87.99,87.99,87.99,1.99,0.022729,1.99,0.022729,1,87.99
1748649600000,2025-05-31 00:00:00,LTC/USDD,86,86,86,86,0,0,0,0,0,87.5
1748563200000,2025-05-30 00:00:00,LTC/USDD,92.02,92.02,86,86,107.85,1.232858,40.68,0.467309,13,87.5
1748476800000,2025-05-29 00:00:00,LTC/USDD,98.41,98.41,93.01,93.01,48.9,0.503485,37.88,0.384982,3,97.19
1748390400000,2025-05-28 00:00:00,LTC/USDD,94.01,94.01,94.01,94.01,0,0,0,0,0,94.01
1748304000000,2025-05-27 00:00:00,LTC/USDD,94.01,94.01,94.01,94.01,1,0.010638,0,0,1,94.01
1748217600000,2025-05-26 00:00:00,LTC/USDD,93.95,93.95,93.95,93.95,0,0,0,0,0,93.96
1748131200000,2025-05-25 00:00:00,LTC/USDD,95,95,93.95,93.95,855.07,9.099685,845.07,8.993302,25,93.96
1748044800000,2025-05-24 00:00:00,LTC/USDD,95,95,95,95,0,0,0,0,0,99.93
1747958400000,2025-05-23 00:00:00,LTC/USDD,100.99,101.99,95,95,57.14,0.571964,7.34,0.072631,8,99.93
1747872000000,2025-05-22 00:00:00,LTC/USDD,97.21,98.99,97.21,98.99,42.73,0.439408,42.73,0.439408,2,97.25
1747785600000,2025-05-21 00:00:00,LTC/USDD,93.02,97.99,93.02,95,28.08,0.298263,2.14,0.022,5,94.17
1747699200000,2025-05-20 00:00:00,LTC/USDD,95.01,95.01,93.01,93.01,8.12,0.086437,0,0,4,93.99
1747612800000,2025-05-19 00:00:00,LTC/USDD,96.01,96.01,95.01,95.01,1.07,0.011173,0,0,2,95.95
1747526400000,2025-05-18 00:00:00,LTC/USDD,98.99,101.99,96.51,100.99,11.16,0.1123,6.04,0.0602,11,99.48
1747440000000,2025-05-17 00:00:00,LTC/USDD,98.01,100.99,96.01,96.01,48.2,0.493308,1,0.01,8,97.73
1747353600000,2025-05-16 00:00:00,LTC/USDD,101.99,101.99,101.99,101.99,1.01,0.01,1.01,0.01,1,101.99
1747267200000,2025-05-15 00:00:00,LTC/USDD,98.01,98.01,96,96,8.03,0.083333,0,0,4,96.38
1747180800000,2025-05-14 00:00:00,LTC/USDD,104.99,104.99,99.01,99.01,4.08,0.04025,1.04,0.01,4,101.65
1747094400000,2025-05-13 00:00:00,LTC/USDD,102.99,103.99,102.99,103.99,1.55,0.015,1.55,0.015,2,103.65
1747008000000,2025-05-12 00:00:00,LTC/USDD,102.29,103.99,102.29,103.99,42.96,0.419906,42.96,0.419906,2,102.33
1746921600000,2025-05-11 00:00:00,LTC/USDD,105.63,105.63,105.63,105.63,42.13,0.398906,0,0,1,105.63
1746835200000,2025-05-10 00:00:00,LTC/USDD,100.99,107.98,95.65,95.65,19.52,0.192489,14.46,0.139607,8,101.58
1746748800000,2025-05-09 00:00:00,LTC/USDD,94.49,99.99,94.49,99.99,216.87,2.276836,22.5,0.231993,12,95.26
1746662400000,2025-05-08 00:00:00,LTC/USDD,90.69,94.99,87.01,94.99,49.93,0.549277,46.8,0.514555,11,90.92
1746576000000,2025-05-07 00:00:00,LTC/USDD,92,93,89.01,89.01,12.65,0.137701,10.65,0.115525,7,91.94
1746489600000,2025-05-06 00:00:00,LTC/USDD,82.49,91.99,82,91.99,454.62,5.494792,127.77,1.528595,33,82.75
1746403200000,2025-05-05 00:00:00,LTC/USDD,85.59,88.99,82.35,83.49,106.41,1.240549,41.13,0.468549,13,85.82
1746316800000,2025-05-04 00:00:00,LTC/USDD,86.01,86.01,86.01,86.01,0,0,0,0,0,86.5
1746230400000,2025-05-03 00:00:00,LTC/USDD,87.01,87.01,86.01,86.01,2.03,0.0235,0,0,2,86.5
1746144000000,2025-05-02 00:00:00,LTC/USDD,89.99,90,89.99,90,6.45,0.07172,6.45,0.07172,2,89.99
1746057600000,2025-05-01 00:00:00,LTC/USDD,87.99,89,87.99,89,12.88,0.145574,12.88,0.145574,4,88.49
1745971200000,2025-04-30 00:00:00,LTC/USDD,87.15,87.15,87.15,87.15,0,0,0,0,0,87.15
1745884800000,2025-04-29 00:00:00,LTC/USDD,87.15,87.15,87.15,87.15,0,0,0,0,0,87.15
1745798400000,2025-04-28 00:00:00,LTC/USDD,87.15,87.15,87.15,87.15,38.39,0.440583,38.39,0.440583,1,87.15
1745712000000,2025-04-27 00:00:00,LTC/USDD,85.7,85.7,84.92,84.92,1594.15,18.740701,1594.15,18.740701,10,85.06
1745625600000,2025-04-26 00:00:00,LTC/USDD,86.79,86.79,86.79,86.79,0,0,0,0,0,86.43
1745539200000,2025-04-25 00:00:00,LTC/USDD,85.99,86.79,85.99,86.79,3.13,0.0363,3.13,0.0363,3,86.43
1745452800000,2025-04-24 00:00:00,LTC/USDD,82,82,80.01,80.01,66.61,0.82329,0,0,4,80.91
1745366400000,2025-04-23 00:00:00,LTC/USDD,84.73,85.98,83,83,70.8,0.836541,40.8,0.480786,8,84.65
1745280000000,2025-04-22 00:00:00,LTC/USDD,75.01,75.01,75.01,75.01,0,0,0,0,0,75.66
1745193600000,2025-04-21 00:00:00,LTC/USDD,75.01,75.01,75.01,75.01,0,0,0,0,0,75.66
1745107200000,2025-04-20 00:00:00,LTC/USDD,75.01,75.01,75.01,75.01,0,0,0,0,0,75.66
1745020800000,2025-04-19 00:00:00,LTC/USDD,75.01,75.01,75.01,75.01,0,0,0,0,0,75.66
1744934400000,2025-04-18 00:00:00,LTC/USDD,75.01,75.01,75.01,75.01,0,0,0,0,0,75.66
1744848000000,2025-04-17 00:00:00,LTC/USDD,75.01,75.01,75.01,75.01,0,0,0,0,0,75.66
1744761600000,2025-04-16 00:00:00,LTC/USDD,75.01,75.01,75.01,75.01,0,0,0,0,0,75.66
1744675200000,2025-04-15 00:00:00,LTC/USDD,75.69,75.69,75.01,75.01,33.04,0.436647,0,0,2,75.66
1744588800000,2025-04-14 00:00:00,LTC/USDD,76.01,76.01,76.01,76.01,1.04,0.0138,0,0,1,76.01
1744502400000,2025-04-13 00:00:00,LTC/USDD,66.81,66.81,66.81,66.81,0,0,0,0,0,66.84
1744416000000,2025-04-12 00:00:00,LTC/USDD,66.81,66.81,66.81,66.81,0,0,0,0,0,66.84
1744329600000,2025-04-11 00:00:00,LTC/USDD,66.81,66.81,66.81,66.81,0,0,0,0,0,66.84
1744243200000,2025-04-10 00:00:00,LTC/USDD,66.81,66.81,66.81,66.81,0,0,0,0,0,66.84
1744156800000,2025-04-09 00:00:00,LTC/USDD,68.01,68.01,66.81,66.81,33.01,0.493823,31.99,0.478823,2,66.84
1744070400000,2025-04-08 00:00:00,LTC/USDD,69.01,69.01,69.01,69.01,1,0.0145,0,0,1,69.01
1743984000000,2025-04-07 00:00:00,LTC/USDD,67.19,70.23,67.19,70.23,32.59,0.478823,0,0,2,68.09
1743897600000,2025-04-06 00:00:00,LTC/USDD,80.01,80.01,69.05,69.05,73.85,0.99796,32.59,0.458237,6,74.13
1743811200000,2025-04-05 00:00:00,LTC/USDD,81.01,81.01,81.01,81.01,0,0,0,0,0,83.22
1743724800000,2025-04-04 00:00:00,LTC/USDD,81.01,81.01,81.01,81.01,0,0,0,0,0,83.22
1743638400000,2025-04-03 00:00:00,LTC/USDD,83.26,83.26,81.01,81.01,84.45,1.014812,83.4,1.001812,3,83.22
1743552000000,2025-04-02 00:00:00,LTC/USDD,82.01,87.99,81.83,82.01,1118.01,12.918673,81.04,0.964169,23,86.55
1743465600000,2025-04-01 00:00:00,LTC/USDD,81.57,81.57,81.57,81.57,0,0,0,0,0,81.71
1743379200000,2025-03-31 00:00:00,LTC/USDD,84.01,84.01,81.57,81.57,41.65,0.509744,0.24,0.003012,7,81.71
1743292800000,2025-03-30 00:00:00,LTC/USDD,87.43,87.43,87.43,87.43,0,0,0,0,0,87.5
1743206400000,2025-03-29 00:00:00,LTC/USDD,87.43,87.43,87.43,87.43,0,0,0,0,0,87.5
