unix,date,symbol,open,high,low,close,Volume XMR,Volume BTC,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1751328000000,2025-07-01 00:00:00,XMR/BTC,0.00301,0.003026,0.002943,0.002952,0.643092,215.88,0.039434,13.09,550,0.002979
1751241600000,2025-06-30 00:00:00,XMR/BTC,0.002903,0.003026,0.002885,0.002999,1.07471,364.44,0.46793,157.96,593,0.002949
1751155200000,2025-06-29 00:00:00,XMR/BTC,0.002877,0.003011,0.002846,0.002886,0.646428,221.78,0.295489,100.99,359,0.002915
1751068800000,2025-06-28 00:00:00,XMR/BTC,0.002886,0.002942,0.002849,0.002901,0.308605,106.92,0.147126,50.73,365,0.002886
1750982400000,2025-06-27 00:00:00,XMR/BTC,0.002914,0.00294,0.00285,0.002856,0.840865,288.12,0.016824,5.8,596,0.002918
1750896000000,2025-06-26 00:00:00,XMR/BTC,0.0029,0.002962,0.002878,0.002911,0.323801,111.48,0.10546,36.14,267,0.002904
1750809600000,2025-06-25 00:00:00,XMR/BTC,0.002955,0.003014,0.0029,0.0029,1.823498,616.53,0.592202,198.98,538,0.002957
1750723200000,2025-06-24 00:00:00,XMR/BTC,0.002931,0.00304,0.002923,0.002954,0.554862,184.68,0.085346,28.52,492,0.003004
1750636800000,2025-06-23 00:00:00,XMR/BTC,0.002979,0.00305,0.00292,0.002949,0.763168,256.28,0.175017,58.62,704,0.002978
1750550400000,2025-06-22 00:00:00,XMR/BTC,0.003029,0.003062,0.002925,0.002963,1.528228,507.97,0.10497,34.57,650,0.003008
1750464000000,2025-06-21 00:00:00,XMR/BTC,0.003015,0.003086,0.003011,0.003034,0.639762,209.31,0.48712,159.03,160,0.003056
1750377600000,2025-06-20 00:00:00,XMR/BTC,0.002965,0.003081,0.002932,0.003023,1.512635,501.88,1.211502,400.33,440,0.003014
1750291200000,2025-06-19 00:00:00,XMR/BTC,0.003056,0.003117,0.002914,0.002965,0.536932,177.53,0.250583,82.39,322,0.003024
1750204800000,2025-06-18 00:00:00,XMR/BTC,0.003067,0.003148,0.003026,0.00304,1.906942,618.98,1.261382,408.84,440,0.00308
1750118400000,2025-06-17 00:00:00,XMR/BTC,0.003015,0.00315,0.003014,0.003065,0.257036,83.31,0.122627,39.54,134,0.003085
1750032000000,2025-06-16 00:00:00,XMR/BTC,0.002989,0.003061,0.002949,0.00304,1.929504,636.67,0.179551,59.34,880,0.00303
1749945600000,2025-06-15 00:00:00,XMR/BTC,0.002968,0.003041,0.002961,0.002988,1.019041,338.43,0.198574,65.74,422,0.003011
1749859200000,2025-06-14 00:00:00,XMR/BTC,0.002944,0.00303,0.002915,0.002978,0.554944,185.58,0.46598,155.49,205,0.00299
1749772800000,2025-06-13 00:00:00,XMR/BTC,0.003014,0.003056,0.002925,0.002942,1.967835,664.54,0.266928,89.27,993,0.002961
1749686400000,2025-06-12 00:00:00,XMR/BTC,0.003037,0.003072,0.00296,0.003014,0.713636,236.72,0.110082,36.2,539,0.003014
1749600000000,2025-06-11 00:00:00,XMR/BTC,0.003085,0.003145,0.003003,0.00304,0.122052,39.84,0.033376,10.75,145,0.003063
1749513600000,2025-06-10 00:00:00,XMR/BTC,0.003007,0.003117,0.003,0.003069,0.143036,46.71,0.094351,30.76,136,0.003062
1749427200000,2025-06-09 00:00:00,XMR/BTC,0.003103,0.003148,0.003003,0.003004,0.123627,40.3,0.009057,2.96,121,0.003068
1749340800000,2025-06-08 00:00:00,XMR/BTC,0.003117,0.003179,0.003053,0.003147,0.131897,42.23,0.077092,24.54,189,0.003123
1749254400000,2025-06-07 00:00:00,XMR/BTC,0.003116,0.00316,0.003054,0.003109,0.41552,133.24,0.207814,66.24,217,0.003118
1749168000000,2025-06-06 00:00:00,XMR/BTC,0.003117,0.003243,0.003069,0.003092,0.636609,201.94,0.475302,150.29,430,0.003153
1749081600000,2025-06-05 00:00:00,XMR/BTC,0.002987,0.003198,0.002982,0.003117,1.072707,348.93,0.905956,295.02,621,0.003074
1748995200000,2025-06-04 00:00:00,XMR/BTC,0.003272,0.003353,0.002896,0.003024,1.974088,625.62,0.127477,40.45,1267,0.003161
1748908800000,2025-06-03 00:00:00,XMR/BTC,0.003377,0.0035,0.003231,0.003268,0.849029,251.18,0.510667,149.79,703,0.003382
1748822400000,2025-06-02 00:00:00,XMR/BTC,0.003258,0.003515,0.00315,0.003388,2.485587,739.25,1.083299,318.23,1112,0.003364
1748736000000,2025-06-01 00:00:00,XMR/BTC,0.003103,0.003288,0.003103,0.003288,0.496201,156.79,0.189883,59.55,559,0.003165
1748649600000,2025-05-31 00:00:00,XMR/BTC,0.003136,0.003187,0.003044,0.0031,0.918849,293.23,0.123248,39.22,698,0.003133
1748563200000,2025-05-30 00:00:00,XMR/BTC,0.003212,0.003212,0.003105,0.00315,1.019239,322.81,0.299217,94.81,499,0.003157
1748476800000,2025-05-29 00:00:00,XMR/BTC,0.003235,0.003242,0.003106,0.003212,1.583075,497.03,0.499953,156.29,400,0.003185
1748390400000,2025-05-28 00:00:00,XMR/BTC,0.003413,0.003418,0.002975,0.00323,3.473029,1094.91,1.01653,321.38,2000,0.003175
1748304000000,2025-05-27 00:00:00,XMR/BTC,0.003666,0.003692,0.003431,0.003431,1.692467,477.81,0.312891,85.88,1132,0.003543
1748217600000,2025-05-26 00:00:00,XMR/BTC,0.003822,0.003823,0.003636,0.00367,1.108294,294.2,0.571008,150.94,1153,0.003767
1748131200000,2025-05-25 00:00:00,XMR/BTC,0.003681,0.00385,0.003681,0.003796,1.467551,386.34,0.944182,248.65,712,0.003799
1748044800000,2025-05-24 00:00:00,XMR/BTC,0.003641,0.003785,0.003588,0.003745,0.745634,202.13,0.581889,157.56,673,0.003689
1747958400000,2025-05-23 00:00:00,XMR/BTC,0.00347,0.0037,0.003416,0.00364,1.279675,353.84,0.251898,70.37,1211,0.003617
1747872000000,2025-05-22 00:00:00,XMR/BTC,0.003589,0.00369,0.00348,0.00348,3.978728,1099.58,1.073963,297.63,3015,0.003618
1747785600000,2025-05-21 00:00:00,XMR/BTC,0.003284,0.003695,0.003284,0.00363,1.789983,513.19,0.958726,277.19,1239,0.003491
1747699200000,2025-05-20 00:00:00,XMR/BTC,0.00322,0.003373,0.00322,0.003284,0.776304,235.63,0.517865,157.25,521,0.003294
1747612800000,2025-05-19 00:00:00,XMR/BTC,0.003181,0.003362,0.003164,0.00322,0.410339,125.09,0.241809,73.71,435,0.00328
