unix,date,symbol,open,high,low,close,Volume XRP,Volume USDD,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1751328000000,2025-07-01 00:00:00,XRP/USDD,2.2084,2.2084,2.1651,2.1651,70.5042,32.3349,0,0,4,2.1806
1751241600000,2025-06-30 00:00:00,XRP/USDD,2.2517,2.2967,2.2517,2.2967,32.8603,14.5445,32.8603,14.5445,4,2.2594
1751155200000,2025-06-29 00:00:00,XRP/USDD,2.2075,2.2075,2.2075,2.2075,4.415,2,4.415,2,1,2.2075
1751068800000,2025-06-28 00:00:00,XRP/USDD,2.1642,2.1817,2.1642,2.1817,47.4712,21.7749,47.4712,21.7749,2,2.1801
1750982400000,2025-06-27 00:00:00,XRP/USDD,2.0812,2.1086,2.081,2.0867,108.4472,52.0082,12.7633,6.053,8,2.0852
1750896000000,2025-06-26 00:00:00,XRP/USDD,2.1226,2.1226,2.1226,2.1226,4.2452,2,0,0,1,2.1226
1750809600000,2025-06-25 00:00:00,XRP/USDD,2.1856,2.1856,2.1856,2.1856,40.4001,18.4847,0,0,1,2.1856
1750723200000,2025-06-24 00:00:00,XRP/USDD,2.1997,2.2075,2.1997,2.2075,13.2727,6.0268,13.2727,6.0268,2,2.2022
1750636800000,2025-06-23 00:00:00,XRP/USDD,2.0279,2.1642,2.0279,2.1642,185.5946,89.9644,185.5946,89.9644,6,2.064
1750550400000,2025-06-22 00:00:00,XRP/USDD,2.0002,2.0002,1.9225,1.9994,180.7033,92.0647,3.9988,2,7,1.9628
1750464000000,2025-06-21 00:00:00,XRP/USDD,2.081,2.081,2.0402,2.0402,8.2424,4,0,0,2,2.0608
1750377600000,2025-06-20 00:00:00,XRP/USDD,2.1226,2.1226,2.1226,2.1226,0,0,0,0,0,2.1226
1750291200000,2025-06-19 00:00:00,XRP/USDD,2.1226,2.1226,2.1226,2.1226,0,0,0,0,0,2.1226
1750204800000,2025-06-18 00:00:00,XRP/USDD,2.1226,2.1226,2.1226,2.1226,4.2452,2,0,0,1,2.1226
1750118400000,2025-06-17 00:00:00,XRP/USDD,2.2084,2.2084,2.1651,2.1651,8.747,4,0,0,2,2.1869
1750032000000,2025-06-16 00:00:00,XRP/USDD,2.2075,2.3165,2.2075,2.3165,22.8398,10.0268,22.8398,10.0268,4,2.2786
1749945600000,2025-06-15 00:00:00,XRP/USDD,2.1226,2.1226,2.1226,2.1226,0,0,0,0,0,2.1288
1749859200000,2025-06-14 00:00:00,XRP/USDD,2.1226,2.1226,2.1226,2.1226,0,0,0,0,0,2.1288
1749772800000,2025-06-13 00:00:00,XRP/USDD,2.1651,2.1651,2.1226,2.1226,29.9588,14.0737,0,0,3,2.1288
1749686400000,2025-06-12 00:00:00,XRP/USDD,2.2084,2.2084,2.2084,2.2084,4.4168,2,0,0,1,2.2084
1749600000000,2025-06-11 00:00:00,XRP/USDD,2.2967,2.2967,2.2967,2.2967,0,0,0,0,0,2.2967
1749513600000,2025-06-10 00:00:00,XRP/USDD,2.2967,2.2967,2.2967,2.2967,0,0,0,0,0,2.2967
1749427200000,2025-06-09 00:00:00,XRP/USDD,2.2967,2.2967,2.2967,2.2967,4.5934,2,4.5934,2,1,2.2967
1749340800000,2025-06-08 00:00:00,XRP/USDD,2.2075,2.2517,2.1651,2.2517,17.752,8,13.4218,6,4,2.2195
1749254400000,2025-06-07 00:00:00,XRP/USDD,2.296,2.296,2,2.1642,45.2914,21.1453,29.8683,13.5782,11,2.147
1749168000000,2025-06-06 00:00:00,XRP/USDD,2.081,2.081,2.081,2.081,0,0,0,0,0,2.1359
1749081600000,2025-06-05 00:00:00,XRP/USDD,2.1651,2.1651,2.081,2.081,37.0785,17.3609,0,0,7,2.1359
1748995200000,2025-06-04 00:00:00,XRP/USDD,2.2517,2.2517,2.2517,2.2517,0,0,0,0,0,2.2141
1748908800000,2025-06-03 00:00:00,XRP/USDD,2.2075,2.2517,2.2075,2.2517,30.1532,13.6194,30.1532,13.6194,3,2.2141
1748822400000,2025-06-02 00:00:00,XRP/USDD,2.0873,2.0873,2.0873,2.0873,0,0,0,0,0,2.0945
1748736000000,2025-06-01 00:00:00,XRP/USDD,2.0873,2.0873,2.0873,2.0873,0,0,0,0,0,2.0945
1748649600000,2025-05-31 00:00:00,XRP/USDD,2.1226,2.1226,2.0873,2.0873,29.3449,14.0105,0,0,3,2.0945
1748563200000,2025-05-30 00:00:00,XRP/USDD,2.2084,2.2084,2.1651,2.1651,13.7469,6.2727,0,0,4,2.1917
1748476800000,2025-05-29 00:00:00,XRP/USDD,2.2526,2.2526,2.2526,2.2526,0,0,0,0,0,2.2547
1748390400000,2025-05-28 00:00:00,XRP/USDD,2.2549,2.2549,2.2526,2.2526,62.2335,27.6013,0,0,3,2.2547
1748304000000,2025-05-27 00:00:00,XRP/USDD,2.257,2.257,2.257,2.257,0,0,0,0,0,2.2568
1748217600000,2025-05-26 00:00:00,XRP/USDD,2.2568,2.257,2.2568,2.257,0.0049,0.0022,0,0,2,2.2568
1748131200000,2025-05-25 00:00:00,XRP/USDD,2.2977,2.2977,2.2977,2.2977,0,0,0,0,0,2.3209
1748044800000,2025-05-24 00:00:00,XRP/USDD,2.2977,2.2977,2.2977,2.2977,0,0,0,0,0,2.3209
1747958400000,2025-05-23 00:00:00,XRP/USDD,2.3437,2.3437,2.2977,2.2977,9.2828,4,0,0,2,2.3209
1747872000000,2025-05-22 00:00:00,XRP/USDD,2.4374,2.4374,2.4374,2.4374,4.8748,2,4.8748,2,1,2.4374
1747785600000,2025-05-21 00:00:00,XRP/USDD,2.371,2.371,2.371,2.371,107.1108,45.1754,107.1108,45.1754,1,2.371
